# ==========================================
# 802.11 MAC 体系结构
# ==========================================
Basic ||| 1数据字节由8bit组成，数据字节又称为什么？ ||| 八比特组（octet）


# ==========================================
# 802.11 基础概念与帧结构
# ==========================================
Basic ||| 802.11 MAC 帧主要分为哪三大类？ ||| 管理帧 (Management)、控制帧 (Control)、数据帧 (Data)。 ||| 备注：例如 Beacon 属于管理帧，ACK 和 RTS/CTS 属于控制帧。
Cloze ||| 802.11 设备的连接过程通常包含三个状态。状态 1：未认证且未关联；状态 2：{{c1::已认证 (Authenticated)}} 但未关联；状态 3：已认证且 {{c2::已关联 (Associated)}}。 ||| 只有达到状态 3，STA 才能与 AP 进行数据帧的传输。
Basic ||| 在 802.11 抓包中，BSSID 通常代表什么？ ||| 通常代表 AP (Access Point) 的 MAC 地址，用于唯一标识一个基本服务集 (BSS)。 ||| 

# ==========================================
# 功耗管理与 802.11ax 特性
# ==========================================
Cloze ||| 802.11ax 引入了核心机制 {{c1::TWT (Target Wake Time)}}，允许 AP 和 STA 协商具体的唤醒时间，从而极大地降低终端设备的功耗。 ||| 备注：在进行功耗抓取和分析（如使用高精度功耗仪）时，这是非常关键的测试点。
Basic ||| Beacon 帧中的 TIM (Traffic Indication Map) 字段有什么作用？ ||| AP 通过 TIM 通知处于休眠 (Sleep) 状态的 STA，AP 的缓存中是否有发往该 STA 的单播数据。 ||| STA 醒来收完 Beacon 发现 TIM 指示有自己的数据后，会发送 PS-Poll 帧去取数据。
Basic ||| 什么是 DTIM (Delivery Traffic Indication Map)？ ||| 它是 TIM 的一种特殊类型，用于通知 STA 组播或广播数据即将发送。 |||

Basic ||| 2.4GHz 和 5GHz Wi-Fi 的波长分别是多少？ ||| 2.4GHz 约为 12.5cm，5GHz 约为 6cm。 ||| 备注：波长计算公式为 $\lambda = c / f$。
Basic ||| 为什么 2.4GHz 的穿墙能力比 5GHz 强？ ||| 1. 2.4GHz 波长较长，衍射（绕射）能力更强；2. 5GHz 高频信号更容易被建筑材料吸收。 |||
Basic ||| 什么是“6dB 法则”？ ||| 在自由空间中，传输距离增加一倍，信号强度将衰减 6dB。 |||
Basic ||| Wi-Fi 信号的物理本质是什么？它有哪些主要的波动特性？ ||| Wi-Fi 信号本质是 电磁波。它具有 反射、折射、衍射和干涉 等特性。 |||
Basic ||| 电磁波在传播条件和能量方面有什么特点？ ||| 1. 不需要介质 即可传播；2. 携带能量。 |||
Basic ||| 什么是电磁波的波粒二象性？ ||| 指电磁波既具有 波动性（如干涉、衍射），又具有 粒子性（由光子组成）。 ||| 备注：这是现代物理学的基本概念，由爱因斯坦和德布罗意等科学家完善。
Basic ||| Wi-Fi 信号强度中，dBm 和 dB 分别代表什么？ ||| dBm 是绝对功率单位，衡量信号强度；dB 是相对功率单位，表示信号的增益或衰减。 |||
Basic ||| 在 Wi-Fi 信号中，什么样的 dBm 值代表信号“极好”或“不稳定”？ ||| -30 dBm 左右信号极好；低于 -80 dBm 则连接不稳定。 |||
Reversed ||| dBm (Decibel-milliwatts) ||| 分贝毫瓦（绝对功率单位） ||| 例句: The signal strength is measured in dBm. (信号强度以 dBm 为单位进行测量。)
Reversed ||| Attenuation ||| 衰减 ||| 例句: Distance causes signal attenuation, measured in dB. (距离会导致信号衰减，以 dB 为单位衡量。)
