Basic ||| 你通常几点起床？ ||| What time do you usually get up?
Basic ||| 我通常早上6点起床。 ||| I usually get up at 6:00 a.m.
Basic ||| 你如何开始你的一天？ ||| How do you start your day?
Basic ||| 我以一杯咖啡开始我的一天。 ||| I start my day with a cup of coffee.
Basic ||| 你每天都喝咖啡吗？ ||| Do you drink coffee every day?
Basic ||| 是的，我每天早上都喝咖啡。 ||| Yes, I drink coffee every morning.
Basic ||| 你早饭吃什么？ ||| What do you have for breakfast?
Basic ||| 我早饭通常吃吐司和鸡蛋。 ||| I usually have toast and eggs for breakfast.
Basic ||| 你早上锻炼吗？ ||| Do you exercise in the morning?
Basic ||| 是的，我每天早上慢跑。 ||| Yes, I go for a jog every morning.
Basic ||| 你怎么去上班？ ||| How do you get to work?
Basic ||| 我乘公交车去上班。 ||| I take the bus to work.
Basic ||| 你过去怎么上学？ ||| How did you commute to school?
Basic ||| 我骑自行车。 ||| I rode my bike.
Basic ||| 花了多长时间？ ||| How long did it take?
Basic ||| 通常花我大约半小时。 ||| It usually took me around half an hour.
Basic ||| 你几点出发去上班？ ||| What time do you leave for work?
Basic ||| 我早上7点50分出发去上班。 ||| I leave for work at 7:50 a.m.
Basic ||| 你通勤路上怎么打发时间？ ||| How do you spend your commute?
Basic ||| 我通常听有声读物。 ||| I usually listen to audiobooks.
Basic ||| 你几点开始工作？ ||| What time do you start work?
Basic ||| 我早上9点开始工作。 ||| I start work at 9:00 a.m.
Basic ||| 你工作时听音乐吗？ ||| Do you listen to music while working?
Basic ||| 是的，我发现它有助于我集中注意力。 ||| Yes, I find it helps me concentrate.
Basic ||| 你午休时做什么？ ||| What do you do during your lunch break?
Basic ||| 我通常在附近的一家咖啡馆吃午饭。 ||| I usually have lunch at a nearby cafe.
Basic ||| 你的午休时间有多长？ ||| How long is your lunch break?
Basic ||| 我的午休时间是1小时。 ||| My lunch break is 1 hour long.
Basic ||| 你带午饭去上班吗？ ||| Do you bring lunch to work?
Basic ||| 是的，我通常带盒饭。 ||| Yes, I usually bring a packed lunch.
Basic ||| 你白天会有咖啡休息时间吗？ ||| Do you take any coffee breaks during the day?
Basic ||| 是的，我在下午会有个咖啡休息时间。 ||| Yes, I take a coffee break in the afternoon.
Basic ||| 你更喜欢茶还是咖啡？ ||| Do you prefer tea or coffee?
Basic ||| 我下午更喜欢茶。 ||| I prefer tea in the afternoon.
Basic ||| 你几点下班？ ||| What time do you finish work?
Basic ||| 我下午5点下班。 ||| I finish work at 5:00 p.m.
Basic ||| 你下班后做什么？ ||| What do you do after work?
Basic ||| 我下班后去健身房。 ||| I go to the gym after work.
Basic ||| 你多久去一次健身房？ ||| How often do you go to the gym?
Basic ||| 我每周去三次健身房。 ||| I go to the gym three times a week.
Basic ||| 你做运动吗？ ||| Do you play any sports?
Basic ||| 是的，我打网球。 ||| Yes, I play tennis.
Basic ||| 你做晚饭吗？ ||| Do you cook dinner?
Basic ||| 是的，我通常为家人做晚饭。 ||| Yes, I usually cook dinner for my family.
Basic ||| 你喜欢做饭吗？ ||| Do you like to cook?
